t,name,var,value
11268.0,TRIAL_AVAILABLE_EVENT,,
11269.0,,init_port,S
11269.0,,stim_long,True
11269.0,,correct_side,4
11269.0,,this_interval,2400.0
11916.0,STIM_ONSET_EVENT,,
11916.0,TRIAL_ENTRY_EVENT,,
14318.0,STIM_OFFSET_EVENT,,
14318.0,CHOICE_STATE,,
14950.0,CHOICE_LONG_EVENT,,
14950.0,CHOICE_RIGHT_EVENT,,
14950.0,CHOICE_CORRECT_EVENT,,
31021.0,TRIAL_AVAILABLE_EVENT,,
31022.0,,init_port,S
31022.0,,stim_long,False
31022.0,,correct_side,6
31022.0,,this_interval,600.0
36230.0,TRIAL_ENTRY_EVENT,,
36230.0,STIM_ONSET_EVENT,,
36832.0,CHOICE_STATE,,
36832.0,STIM_OFFSET_EVENT,,
37648.0,CHOICE_LONG_EVENT,,
37648.0,CHOICE_RIGHT_EVENT,,
37648.0,CHOICE_INCORRECT_EVENT,,
55335.0,TRIAL_AVAILABLE_EVENT,,
55336.0,,this_interval,1380.0
55336.0,,correct_side,6
55336.0,,stim_long,False
55336.0,,init_port,S
57565.0,TRIAL_ENTRY_EVENT,,
57566.0,STIM_ONSET_EVENT,,
58947.0,CHOICE_STATE,,
58947.0,STIM_OFFSET_EVENT,,
59614.0,CHOICE_RIGHT_EVENT,,
59614.0,CHOICE_LONG_EVENT,,
59614.0,CHOICE_INCORRECT_EVENT,,
76670.0,TRIAL_AVAILABLE_EVENT,,
76671.0,,correct_side,6
76671.0,,stim_long,False
76671.0,,this_interval,1050.0
76671.0,,init_port,S
79374.0,TRIAL_ENTRY_EVENT,,
79375.0,STIM_ONSET_EVENT,,
80427.0,STIM_OFFSET_EVENT,,
80427.0,CHOICE_STATE,,
81174.0,CHOICE_LONG_EVENT,,
81174.0,CHOICE_RIGHT_EVENT,,
81174.0,CHOICE_INCORRECT_EVENT,,
98481.0,TRIAL_AVAILABLE_EVENT,,
98482.0,,stim_long,True
98482.0,,correct_side,4
98482.0,,this_interval,1620.0
98482.0,,init_port,S
100238.0,TRIAL_ENTRY_EVENT,,
100239.0,STIM_ONSET_EVENT,,
101860.0,STIM_OFFSET_EVENT,,
101860.0,CHOICE_STATE,,
102743.0,CHOICE_INCORRECT_EVENT,,
102743.0,CHOICE_LEFT_EVENT,,
102743.0,CHOICE_SHORT_EVENT,,
119344.0,TRIAL_AVAILABLE_EVENT,,
119345.0,,correct_side,4
119345.0,,init_port,S
119345.0,,this_interval,1950.0
119345.0,,stim_long,True
120341.0,STIM_ONSET_EVENT,,
120341.0,TRIAL_ENTRY_EVENT,,
122292.0,STIM_OFFSET_EVENT,,
122292.0,CHOICE_STATE,,
122932.0,CHOICE_LONG_EVENT,,
122932.0,CHOICE_RIGHT_EVENT,,
122932.0,CHOICE_CORRECT_EVENT,,
122932.0,CHOICE_EVENT,,
123734.0,REWARD_EVENT,,
129445.0,TRIAL_AVAILABLE_EVENT,,
129446.0,,init_port,S
129446.0,,stim_long,True
129446.0,,correct_side,4
129446.0,,this_interval,1740.0
172776.0,TRIAL_ENTRY_EVENT,,
172777.0,STIM_ONSET_EVENT,,
191882.0,TRIAL_AVAILABLE_EVENT,,
191883.0,,init_port,S
191883.0,,stim_long,False
191883.0,,correct_side,6
191883.0,,this_interval,600.0
194100.0,TRIAL_ENTRY_EVENT,,
194101.0,STIM_ONSET_EVENT,,
194702.0,CHOICE_STATE,,
194702.0,STIM_OFFSET_EVENT,,
195707.0,CHOICE_SHORT_EVENT,,
195707.0,CHOICE_LEFT_EVENT,,
195707.0,CHOICE_CORRECT_EVENT,,
195707.0,CHOICE_EVENT,,
196509.0,REWARD_EVENT,,
203205.0,TRIAL_AVAILABLE_EVENT,,
203206.0,,this_interval,1950.0
203206.0,,stim_long,True
203206.0,,init_port,S
203206.0,,correct_side,4
219330.0,TRIAL_ENTRY_EVENT,,
219331.0,STIM_ONSET_EVENT,,
221282.0,CHOICE_STATE,,
221282.0,STIM_OFFSET_EVENT,,
222025.0,CHOICE_CORRECT_EVENT,,
222025.0,CHOICE_RIGHT_EVENT,,
222025.0,CHOICE_LONG_EVENT,,
238437.0,TRIAL_AVAILABLE_EVENT,,
238438.0,,correct_side,4
238438.0,,this_interval,1740.0
238438.0,,init_port,S
238438.0,,stim_long,True
241199.0,TRIAL_ENTRY_EVENT,,
241200.0,STIM_ONSET_EVENT,,
242941.0,STIM_OFFSET_EVENT,,
242941.0,CHOICE_STATE,,
244093.0,CHOICE_CORRECT_EVENT,,
244093.0,CHOICE_RIGHT_EVENT,,
244093.0,CHOICE_LONG_EVENT,,
244093.0,CHOICE_EVENT,,
244895.0,REWARD_EVENT,,
250304.0,TRIAL_AVAILABLE_EVENT,,
250305.0,,correct_side,4
250305.0,,this_interval,1620.0
250305.0,,init_port,S
250305.0,,stim_long,True
267433.0,TRIAL_ENTRY_EVENT,,
267435.0,STIM_ONSET_EVENT,,
269056.0,STIM_OFFSET_EVENT,,
269056.0,CHOICE_STATE,,
269764.0,CHOICE_SHORT_EVENT,,
269764.0,CHOICE_LEFT_EVENT,,
269764.0,CHOICE_INCORRECT_EVENT,,
286539.0,TRIAL_AVAILABLE_EVENT,,
286540.0,,init_port,S
286540.0,,correct_side,4
286540.0,,this_interval,1620.0
286540.0,,stim_long,True
291510.0,STIM_ONSET_EVENT,,
291510.0,TRIAL_ENTRY_EVENT,,
293132.0,STIM_OFFSET_EVENT,,
293132.0,CHOICE_STATE,,
293956.0,CHOICE_CORRECT_EVENT,,
293956.0,CHOICE_EVENT,,
293956.0,CHOICE_RIGHT_EVENT,,
293956.0,CHOICE_LONG_EVENT,,
294757.0,REWARD_EVENT,,
300614.0,TRIAL_AVAILABLE_EVENT,,
300615.0,,stim_long,False
300615.0,,this_interval,1260.0
300615.0,,correct_side,6
300615.0,,init_port,S
310974.0,TRIAL_ENTRY_EVENT,,
310975.0,STIM_ONSET_EVENT,,
312236.0,CHOICE_STATE,,
312236.0,STIM_OFFSET_EVENT,,
312985.0,CHOICE_CORRECT_EVENT,,
312985.0,CHOICE_EVENT,,
312985.0,CHOICE_LEFT_EVENT,,
312985.0,CHOICE_SHORT_EVENT,,
313787.0,REWARD_EVENT,,
320080.0,TRIAL_AVAILABLE_EVENT,,
320081.0,,this_interval,1620.0
320081.0,,stim_long,True
320081.0,,init_port,S
320081.0,,correct_side,4
323270.0,TRIAL_ENTRY_EVENT,,
323270.0,STIM_ONSET_EVENT,,
324892.0,STIM_OFFSET_EVENT,,
324892.0,CHOICE_STATE,,
325981.0,CHOICE_LONG_EVENT,,
325981.0,CHOICE_RIGHT_EVENT,,
325981.0,CHOICE_CORRECT_EVENT,,
325981.0,CHOICE_EVENT,,
326784.0,REWARD_EVENT,,
332376.0,TRIAL_AVAILABLE_EVENT,,
332377.0,,init_port,S
332377.0,,stim_long,False
332377.0,,correct_side,6
332377.0,,this_interval,1380.0
340260.0,TRIAL_ENTRY_EVENT,,
340261.0,STIM_ONSET_EVENT,,
341642.0,CHOICE_STATE,,
341642.0,STIM_OFFSET_EVENT,,
342456.0,CHOICE_EVENT,,
342456.0,CHOICE_CORRECT_EVENT,,
342456.0,CHOICE_LEFT_EVENT,,
342456.0,CHOICE_SHORT_EVENT,,
343258.0,REWARD_EVENT,,
349366.0,TRIAL_AVAILABLE_EVENT,,
349367.0,,correct_side,6
349367.0,,stim_long,False
349367.0,,init_port,S
349367.0,,this_interval,600.0
355141.0,TRIAL_ENTRY_EVENT,,
355142.0,STIM_ONSET_EVENT,,
355743.0,CHOICE_STATE,,
355743.0,STIM_OFFSET_EVENT,,
356556.0,CHOICE_CORRECT_EVENT,,
356556.0,CHOICE_LEFT_EVENT,,
356556.0,CHOICE_SHORT_EVENT,,
356556.0,CHOICE_EVENT,,
357358.0,REWARD_EVENT,,
364247.0,TRIAL_AVAILABLE_EVENT,,
364248.0,,correct_side,6
364248.0,,this_interval,1380.0
364248.0,,init_port,S
364248.0,,stim_long,False
368040.0,TRIAL_ENTRY_EVENT,,
368041.0,STIM_ONSET_EVENT,,
369422.0,CHOICE_STATE,,
369422.0,STIM_OFFSET_EVENT,,
370587.0,CHOICE_SHORT_EVENT,,
370587.0,CHOICE_LEFT_EVENT,,
370587.0,CHOICE_CORRECT_EVENT,,
370587.0,CHOICE_EVENT,,
371388.0,REWARD_EVENT,,
377146.0,TRIAL_AVAILABLE_EVENT,,
377147.0,,correct_side,4
377147.0,,stim_long,True
377147.0,,init_port,S
377147.0,,this_interval,2400.0
392497.0,TRIAL_ENTRY_EVENT,,
392498.0,STIM_ONSET_EVENT,,
394900.0,CHOICE_STATE,,
394900.0,STIM_OFFSET_EVENT,,
395769.0,CHOICE_LONG_EVENT,,
395769.0,CHOICE_EVENT,,
395769.0,CHOICE_CORRECT_EVENT,,
395769.0,CHOICE_RIGHT_EVENT,,
396571.0,REWARD_EVENT,,
401604.0,TRIAL_AVAILABLE_EVENT,,
401605.0,,this_interval,1740.0
401605.0,,correct_side,4
401605.0,,stim_long,True
401605.0,,init_port,S
403864.0,TRIAL_ENTRY_EVENT,,
403865.0,STIM_ONSET_EVENT,,
405607.0,STIM_OFFSET_EVENT,,
405607.0,CHOICE_STATE,,
406410.0,CHOICE_INCORRECT_EVENT,,
406410.0,CHOICE_SHORT_EVENT,,
406410.0,CHOICE_LEFT_EVENT,,
422970.0,TRIAL_AVAILABLE_EVENT,,
422971.0,,correct_side,6
422971.0,,this_interval,1260.0
422971.0,,stim_long,False
422971.0,,init_port,S
423736.0,TRIAL_ENTRY_EVENT,,
423737.0,STIM_ONSET_EVENT,,
424998.0,CHOICE_STATE,,
424998.0,STIM_OFFSET_EVENT,,
425794.0,CHOICE_EVENT,,
425794.0,CHOICE_SHORT_EVENT,,
425794.0,CHOICE_LEFT_EVENT,,
425794.0,CHOICE_CORRECT_EVENT,,
426595.0,REWARD_EVENT,,
432840.0,TRIAL_AVAILABLE_EVENT,,
432841.0,,this_interval,600.0
432841.0,,init_port,S
432841.0,,stim_long,False
432841.0,,correct_side,6
446322.0,TRIAL_ENTRY_EVENT,,
446323.0,STIM_ONSET_EVENT,,
446924.0,CHOICE_STATE,,
446924.0,STIM_OFFSET_EVENT,,
447720.0,CHOICE_CORRECT_EVENT,,
447720.0,CHOICE_EVENT,,
447720.0,CHOICE_SHORT_EVENT,,
447720.0,CHOICE_LEFT_EVENT,,
448522.0,REWARD_EVENT,,
455429.0,TRIAL_AVAILABLE_EVENT,,
455430.0,,this_interval,1380.0
455430.0,,correct_side,6
455430.0,,init_port,S
455430.0,,stim_long,False
466245.0,TRIAL_ENTRY_EVENT,,
466246.0,STIM_ONSET_EVENT,,
467628.0,STIM_OFFSET_EVENT,,
467628.0,CHOICE_STATE,,
468378.0,CHOICE_LONG_EVENT,,
468378.0,CHOICE_RIGHT_EVENT,,
468378.0,CHOICE_INCORRECT_EVENT,,
485352.0,TRIAL_AVAILABLE_EVENT,,
485353.0,,correct_side,6
485353.0,,stim_long,False
485353.0,,init_port,S
485353.0,,this_interval,1050.0
487496.0,TRIAL_ENTRY_EVENT,,
487496.0,STIM_ONSET_EVENT,,
488547.0,STIM_OFFSET_EVENT,,
488547.0,CHOICE_STATE,,
489302.0,CHOICE_RIGHT_EVENT,,
489302.0,CHOICE_LONG_EVENT,,
489302.0,CHOICE_INCORRECT_EVENT,,
506599.0,TRIAL_AVAILABLE_EVENT,,
506600.0,,init_port,S
506600.0,,stim_long,False
506600.0,,correct_side,6
506600.0,,this_interval,600.0
506996.0,TRIAL_ENTRY_EVENT,,
506997.0,STIM_ONSET_EVENT,,
507599.0,STIM_OFFSET_EVENT,,
507599.0,CHOICE_STATE,,
508223.0,CHOICE_CORRECT_EVENT,,
508223.0,CHOICE_EVENT,,
508223.0,CHOICE_LEFT_EVENT,,
508223.0,CHOICE_SHORT_EVENT,,
509024.0,REWARD_EVENT,,
516103.0,TRIAL_AVAILABLE_EVENT,,
516104.0,,init_port,S
516104.0,,stim_long,True
516104.0,,correct_side,4
516104.0,,this_interval,1620.0
535113.0,TRIAL_ENTRY_EVENT,,
535114.0,STIM_ONSET_EVENT,,
536735.0,STIM_OFFSET_EVENT,,
536735.0,CHOICE_STATE,,
537769.0,CHOICE_LEFT_EVENT,,
537769.0,CHOICE_INCORRECT_EVENT,,
537769.0,CHOICE_SHORT_EVENT,,
554218.0,TRIAL_AVAILABLE_EVENT,,
554219.0,,stim_long,False
554219.0,,this_interval,1380.0
554219.0,,correct_side,6
554219.0,,init_port,S
556660.0,TRIAL_ENTRY_EVENT,,
556661.0,STIM_ONSET_EVENT,,
558042.0,CHOICE_STATE,,
558042.0,STIM_OFFSET_EVENT,,
558938.0,CHOICE_LONG_EVENT,,
558938.0,CHOICE_RIGHT_EVENT,,
558938.0,CHOICE_INCORRECT_EVENT,,
575766.0,TRIAL_AVAILABLE_EVENT,,
575767.0,,this_interval,1620.0
575767.0,,init_port,S
575767.0,,stim_long,True
575767.0,,correct_side,4
578480.0,TRIAL_ENTRY_EVENT,,
578481.0,STIM_ONSET_EVENT,,
597585.0,TRIAL_AVAILABLE_EVENT,,
597586.0,,correct_side,6
597586.0,,stim_long,False
597586.0,,init_port,S
597586.0,,this_interval,1380.0
604919.0,TRIAL_ENTRY_EVENT,,
604920.0,STIM_ONSET_EVENT,,
606301.0,CHOICE_STATE,,
606301.0,STIM_OFFSET_EVENT,,
607284.0,CHOICE_EVENT,,
607284.0,CHOICE_LEFT_EVENT,,
607284.0,CHOICE_CORRECT_EVENT,,
607284.0,CHOICE_SHORT_EVENT,,
608086.0,REWARD_EVENT,,
614024.0,TRIAL_AVAILABLE_EVENT,,
614025.0,,correct_side,6
614025.0,,stim_long,False
614025.0,,this_interval,600.0
614025.0,,init_port,S
622995.0,TRIAL_ENTRY_EVENT,,
622995.0,STIM_ONSET_EVENT,,
623596.0,CHOICE_STATE,,
623596.0,STIM_OFFSET_EVENT,,
624636.0,CHOICE_SHORT_EVENT,,
624636.0,CHOICE_EVENT,,
624636.0,CHOICE_CORRECT_EVENT,,
624636.0,CHOICE_LEFT_EVENT,,
625437.0,REWARD_EVENT,,
632100.0,TRIAL_AVAILABLE_EVENT,,
632101.0,,correct_side,4
632101.0,,stim_long,True
632101.0,,init_port,S
632101.0,,this_interval,1620.0
640668.0,TRIAL_ENTRY_EVENT,,
640669.0,STIM_ONSET_EVENT,,
642291.0,CHOICE_STATE,,
642291.0,STIM_OFFSET_EVENT,,
643524.0,CHOICE_EVENT,,
643524.0,CHOICE_LONG_EVENT,,
643524.0,CHOICE_RIGHT_EVENT,,
643524.0,CHOICE_CORRECT_EVENT,,
644325.0,REWARD_EVENT,,
649775.0,TRIAL_AVAILABLE_EVENT,,
649776.0,,stim_long,False
649776.0,,init_port,S
649776.0,,correct_side,6
649776.0,,this_interval,1050.0
653313.0,TRIAL_ENTRY_EVENT,,
653314.0,STIM_ONSET_EVENT,,
654366.0,CHOICE_STATE,,
654366.0,STIM_OFFSET_EVENT,,
655220.0,CHOICE_CORRECT_EVENT,,
655220.0,CHOICE_LEFT_EVENT,,
655220.0,CHOICE_SHORT_EVENT,,
655220.0,CHOICE_EVENT,,
656022.0,REWARD_EVENT,,
662420.0,TRIAL_AVAILABLE_EVENT,,
662421.0,,correct_side,6
662421.0,,stim_long,False
662421.0,,init_port,S
662421.0,,this_interval,1050.0
666339.0,TRIAL_ENTRY_EVENT,,
666340.0,STIM_ONSET_EVENT,,
667392.0,STIM_OFFSET_EVENT,,
667392.0,CHOICE_STATE,,
668128.0,CHOICE_SHORT_EVENT,,
668128.0,CHOICE_LEFT_EVENT,,
668128.0,CHOICE_EVENT,,
668128.0,CHOICE_CORRECT_EVENT,,
668931.0,REWARD_EVENT,,
675446.0,TRIAL_AVAILABLE_EVENT,,
675447.0,,stim_long,True
675447.0,,correct_side,4
675447.0,,init_port,S
675447.0,,this_interval,2400.0
680461.0,TRIAL_ENTRY_EVENT,,
680462.0,STIM_ONSET_EVENT,,
682863.0,STIM_OFFSET_EVENT,,
682863.0,CHOICE_STATE,,
683570.0,CHOICE_EVENT,,
683570.0,CHOICE_CORRECT_EVENT,,
683570.0,CHOICE_LONG_EVENT,,
683570.0,CHOICE_RIGHT_EVENT,,
684372.0,REWARD_EVENT,,
689568.0,TRIAL_AVAILABLE_EVENT,,
689569.0,,init_port,S
689569.0,,this_interval,1950.0
689569.0,,correct_side,4
689569.0,,stim_long,True
691901.0,TRIAL_ENTRY_EVENT,,
691902.0,STIM_ONSET_EVENT,,
693852.0,CHOICE_STATE,,
693852.0,STIM_OFFSET_EVENT,,
694724.0,CHOICE_SHORT_EVENT,,
694724.0,CHOICE_LEFT_EVENT,,
694724.0,CHOICE_INCORRECT_EVENT,,
711009.0,TRIAL_AVAILABLE_EVENT,,
711010.0,,this_interval,1740.0
711010.0,,correct_side,4
711010.0,,stim_long,True
711010.0,,init_port,S
712503.0,STIM_ONSET_EVENT,,
712503.0,TRIAL_ENTRY_EVENT,,
714245.0,STIM_OFFSET_EVENT,,
714245.0,CHOICE_STATE,,
714962.0,CHOICE_INCORRECT_EVENT,,
714962.0,CHOICE_SHORT_EVENT,,
714962.0,CHOICE_LEFT_EVENT,,
731609.0,TRIAL_AVAILABLE_EVENT,,
731610.0,,init_port,S
731610.0,,correct_side,6
731610.0,,stim_long,False
731610.0,,this_interval,600.0
733703.0,TRIAL_ENTRY_EVENT,,
733704.0,STIM_ONSET_EVENT,,
734306.0,CHOICE_STATE,,
734306.0,STIM_OFFSET_EVENT,,
735263.0,CHOICE_LEFT_EVENT,,
735263.0,CHOICE_EVENT,,
735263.0,CHOICE_SHORT_EVENT,,
735263.0,CHOICE_CORRECT_EVENT,,
736064.0,REWARD_EVENT,,
742807.0,TRIAL_AVAILABLE_EVENT,,
742808.0,,stim_long,False
742808.0,,correct_side,6
742808.0,,init_port,S
742808.0,,this_interval,600.0
779552.0,TRIAL_ENTRY_EVENT,,
779552.0,STIM_ONSET_EVENT,,
780153.0,CHOICE_STATE,,
780153.0,STIM_OFFSET_EVENT,,
781176.0,CHOICE_SHORT_EVENT,,
781176.0,CHOICE_LEFT_EVENT,,
781176.0,CHOICE_CORRECT_EVENT,,
798656.0,TRIAL_AVAILABLE_EVENT,,
798657.0,,this_interval,1260.0
798657.0,,stim_long,False
798657.0,,correct_side,6
798657.0,,init_port,S
798948.0,TRIAL_ENTRY_EVENT,,
798949.0,STIM_ONSET_EVENT,,
818054.0,TRIAL_AVAILABLE_EVENT,,
818055.0,,this_interval,1380.0
818055.0,,correct_side,6
818055.0,,stim_long,False
818055.0,,init_port,S
819692.0,STIM_ONSET_EVENT,,
819692.0,TRIAL_ENTRY_EVENT,,
821073.0,STIM_OFFSET_EVENT,,
821073.0,CHOICE_STATE,,
822445.0,CHOICE_SHORT_EVENT,,
822445.0,CHOICE_EVENT,,
822445.0,CHOICE_CORRECT_EVENT,,
822445.0,CHOICE_LEFT_EVENT,,
823247.0,REWARD_EVENT,,
828797.0,TRIAL_AVAILABLE_EVENT,,
828798.0,,this_interval,1620.0
828798.0,,init_port,S
828798.0,,stim_long,True
828798.0,,correct_side,4
849615.0,STIM_ONSET_EVENT,,
849615.0,TRIAL_ENTRY_EVENT,,
868719.0,TRIAL_AVAILABLE_EVENT,,
868720.0,,this_interval,1380.0
868720.0,,stim_long,False
868720.0,,init_port,S
868720.0,,correct_side,6
871841.0,TRIAL_ENTRY_EVENT,,
871842.0,STIM_ONSET_EVENT,,
873223.0,STIM_OFFSET_EVENT,,
873223.0,CHOICE_STATE,,
874050.0,CHOICE_EVENT,,
874050.0,CHOICE_SHORT_EVENT,,
874050.0,CHOICE_LEFT_EVENT,,
874050.0,CHOICE_CORRECT_EVENT,,
874852.0,REWARD_EVENT,,
880948.0,TRIAL_AVAILABLE_EVENT,,
880949.0,,correct_side,4
880949.0,,stim_long,True
880949.0,,init_port,S
880949.0,,this_interval,1620.0
889920.0,TRIAL_ENTRY_EVENT,,
889921.0,STIM_ONSET_EVENT,,
891542.0,CHOICE_STATE,,
891542.0,STIM_OFFSET_EVENT,,
892270.0,CHOICE_INCORRECT_EVENT,,
892270.0,CHOICE_LEFT_EVENT,,
892270.0,CHOICE_SHORT_EVENT,,
909026.0,TRIAL_AVAILABLE_EVENT,,
909027.0,,init_port,S
909027.0,,stim_long,False
909027.0,,correct_side,6
909027.0,,this_interval,1260.0
909930.0,STIM_ONSET_EVENT,,
909930.0,TRIAL_ENTRY_EVENT,,
911192.0,CHOICE_STATE,,
911192.0,STIM_OFFSET_EVENT,,
912043.0,CHOICE_LEFT_EVENT,,
912043.0,CHOICE_CORRECT_EVENT,,
912043.0,CHOICE_SHORT_EVENT,,
912043.0,CHOICE_EVENT,,
912844.0,REWARD_EVENT,,
919036.0,TRIAL_AVAILABLE_EVENT,,
919037.0,,this_interval,1740.0
919037.0,,correct_side,4
919037.0,,stim_long,True
919037.0,,init_port,S
935366.0,TRIAL_ENTRY_EVENT,,
