|------|-----------|------------------------|---------------|--------|
|      | t         | name                   | var           | value  |
|------|-----------|------------------------|---------------|--------|
|    0 |   11268.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|    1 |   11269.0 |                        | correct_side  | right  |
|------|-----------|------------------------|---------------|--------|
|    2 |   11269.0 |                        | stim_long     | True   |
|------|-----------|------------------------|---------------|--------|
|    3 |   11269.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|    4 |   11269.0 |                        | this_interval | 2400.0 |
|------|-----------|------------------------|---------------|--------|
|    5 |   11916.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|    6 |   11916.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|    7 |   14318.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|    8 |   14318.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|    9 |   14950.0 | CHOICE_CORRECT_EVENT   |               |        |
|------|-----------|------------------------|---------------|--------|
|   10 |   14950.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|   11 |   14950.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   12 |   14950.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   13 |   31021.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|   14 |   31022.0 |                        | correct_side  | left   |
|------|-----------|------------------------|---------------|--------|
|   15 |   31022.0 |                        | stim_long     | False  |
|------|-----------|------------------------|---------------|--------|
|   16 |   31022.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|   17 |   31022.0 |                        | this_interval |  600.0 |
|------|-----------|------------------------|---------------|--------|
|   18 |   36230.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|   19 |   36230.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   20 |   36832.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|   21 |   36832.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   22 |   37648.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   23 |   37648.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|   24 |   37648.0 | CHOICE_INCORRECT_EVENT |               |        |
|------|-----------|------------------------|---------------|--------|
|   25 |   37648.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   26 |   55335.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|   27 |   55336.0 |                        | stim_long     | False  |
|------|-----------|------------------------|---------------|--------|
|   28 |   55336.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|   29 |   55336.0 |                        | correct_side  | left   |
|------|-----------|------------------------|---------------|--------|
|   30 |   55336.0 |                        | this_interval | 1380.0 |
|------|-----------|------------------------|---------------|--------|
|   31 |   57565.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   32 |   57566.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|   33 |   58947.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|   34 |   58947.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   35 |   59614.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   36 |   59614.0 | CHOICE_INCORRECT_EVENT |               |        |
|------|-----------|------------------------|---------------|--------|
|   37 |   59614.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|   38 |   59614.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   39 |   76670.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|   40 |   76671.0 |                        | correct_side  | left   |
|------|-----------|------------------------|---------------|--------|
|   41 |   76671.0 |                        | stim_long     | False  |
|------|-----------|------------------------|---------------|--------|
|   42 |   76671.0 |                        | this_interval | 1050.0 |
|------|-----------|------------------------|---------------|--------|
|   43 |   76671.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|   44 |   79374.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   45 |   79375.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|   46 |   80427.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   47 |   80427.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|   48 |   81174.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|   49 |   81174.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   50 |   81174.0 | CHOICE_INCORRECT_EVENT |               |        |
|------|-----------|------------------------|---------------|--------|
|   51 |   81174.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   52 |   98481.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|   53 |   98482.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|   54 |   98482.0 |                        | this_interval | 1620.0 |
|------|-----------|------------------------|---------------|--------|
|   55 |   98482.0 |                        | correct_side  | right  |
|------|-----------|------------------------|---------------|--------|
|   56 |   98482.0 |                        | stim_long     | True   |
|------|-----------|------------------------|---------------|--------|
|   57 |  100238.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   58 |  100239.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|   59 |  101860.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   60 |  101860.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|   61 |  102743.0 | CHOICE_SHORT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|   62 |  102743.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   63 |  102743.0 | CHOICE_INCORRECT_EVENT |               |        |
|------|-----------|------------------------|---------------|--------|
|   64 |  102743.0 | CHOICE_LEFT_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   65 |  119344.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|   66 |  119345.0 |                        | stim_long     | True   |
|------|-----------|------------------------|---------------|--------|
|   67 |  119345.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|   68 |  119345.0 |                        | this_interval | 1950.0 |
|------|-----------|------------------------|---------------|--------|
|   69 |  119345.0 |                        | correct_side  | right  |
|------|-----------|------------------------|---------------|--------|
|   70 |  120341.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   71 |  120341.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|   72 |  122292.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|   73 |  122292.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   74 |  122932.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|   75 |  122932.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   76 |  122932.0 | CHOICE_CORRECT_EVENT   |               |        |
|------|-----------|------------------------|---------------|--------|
|   77 |  122932.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   78 |  123734.0 | REWARD_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|   79 |  129445.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|   80 |  129446.0 |                        | correct_side  | right  |
|------|-----------|------------------------|---------------|--------|
|   81 |  129446.0 |                        | this_interval | 1740.0 |
|------|-----------|------------------------|---------------|--------|
|   82 |  129446.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|   83 |  129446.0 |                        | stim_long     | True   |
|------|-----------|------------------------|---------------|--------|
|   84 |  172776.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|   85 |  172777.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
