|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|     | chosen_side | chosen_interval | correct_side | interval_category | has_choice | this_interval | outcome   | init_port | choice_rt | t_on      | t_off     | t         |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   0 | right       | long            | right        | long              | True       |        2400.0 | correct   | S         |     632.0 |   11268.0 |   31021.0 |   11268.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   1 | right       | long            | left         | short             | True       |         600.0 | incorrect | S         |     816.0 |   31021.0 |   55335.0 |   31021.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   2 | right       | long            | left         | short             | True       |        1380.0 | incorrect | S         |     667.0 |   55335.0 |   76670.0 |   55335.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   3 | right       | long            | left         | short             | True       |        1050.0 | incorrect | S         |     747.0 |   76670.0 |   98481.0 |   76670.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   4 | left        | short           | right        | long              | True       |        1620.0 | incorrect | S         |     883.0 |   98481.0 |  119344.0 |   98481.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   5 | right       | long            | right        | long              | True       |        1950.0 | correct   | S         |     640.0 |  119344.0 |  129445.0 |  119344.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   6 |             |                 | right        | long              | False      |        1740.0 |           | S         |           |  129445.0 |  191882.0 |  129445.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   7 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |    1005.0 |  191882.0 |  203205.0 |  191882.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   8 | right       | long            | right        | long              | True       |        1950.0 | correct   | S         |     743.0 |  203205.0 |  238437.0 |  203205.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|   9 | right       | long            | right        | long              | True       |        1740.0 | correct   | S         |    1152.0 |  238437.0 |  250304.0 |  238437.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  10 | left        | short           | right        | long              | True       |        1620.0 | incorrect | S         |     708.0 |  250304.0 |  286539.0 |  250304.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  11 | right       | long            | right        | long              | True       |        1620.0 | correct   | S         |     824.0 |  286539.0 |  300614.0 |  286539.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  12 | left        | short           | left         | short             | True       |        1260.0 | correct   | S         |     749.0 |  300614.0 |  320080.0 |  300614.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  13 | right       | long            | right        | long              | True       |        1620.0 | correct   | S         |    1089.0 |  320080.0 |  332376.0 |  320080.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  14 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |     814.0 |  332376.0 |  349366.0 |  332376.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  15 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |     813.0 |  349366.0 |  364247.0 |  349366.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  16 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |    1165.0 |  364247.0 |  377146.0 |  364247.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  17 | right       | long            | right        | long              | True       |        2400.0 | correct   | S         |     869.0 |  377146.0 |  401604.0 |  377146.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  18 | left        | short           | right        | long              | True       |        1740.0 | incorrect | S         |     803.0 |  401604.0 |  422970.0 |  401604.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  19 | left        | short           | left         | short             | True       |        1260.0 | correct   | S         |     796.0 |  422970.0 |  432840.0 |  422970.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  20 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |     796.0 |  432840.0 |  455429.0 |  432840.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  21 | right       | long            | left         | short             | True       |        1380.0 | incorrect | S         |     750.0 |  455429.0 |  485352.0 |  455429.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  22 | right       | long            | left         | short             | True       |        1050.0 | incorrect | S         |     755.0 |  485352.0 |  506599.0 |  485352.0 |
