time,stimulus,condition,decision,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49
0,0.0,0.0,2.0,0.0,10.0,6.0,3.0,0.0,0.0,0.0,5.0,12.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,8.0,15.0,6.0,0.0,0.0,0.0,3.0,12.0,7.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,13.0,14.0,4.0,0.0,0.0
1,0.0,0.0,1.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,9.0,10.0,7.0,0.0,0.0,0.0,7.0,4.0,6.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,10.0,12.0,4.0,0.0,0.0,0.0,9.0,11.0,7.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,11.0,2.0,0.0,0.0
2,0.0,0.0,1.0,0.0,7.0,10.0,2.0,0.0,0.0,0.0,7.0,13.0,2.0,0.0,0.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,5.0,6.0,9.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,12.0,12.0,2.0,0.0,0.0,0.0,7.0,8.0,5.0,0.0,0.0,0.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,0.0,9.0,9.0,5.0,0.0,0.0,0.0,7.0,10.0,4.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0
4,0.0,0.0,1.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,1.0,13.0,15.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,0.0
5,0.0,0.0,2.0,1.0,8.0,5.0,1.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,7.0,13.0,2.0,0.0,0.0,0.0,3.0,12.0,6.0,0.0,0.0,0.0,5.0,13.0,8.0,0.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,0.0
6,0.0,0.0,2.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,0.0,0.0,0.0,3.0,13.0,9.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,11.0,4.0,5.0,0.0,0.0,0.0,8.0,9.0,5.0,0.0,0.0,0.0,2.0,8.0,11.0,0.0,0.0,0.0,1.0,10.0,9.0,2.0,0.0,0.0
7,0.0,0.0,1.0,2.0,8.0,10.0,2.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,0.0,2.0,10.0,7.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,3.0,12.0,5.0,0.0,0.0,0.0,3.0,9.0,15.0,0.0,0.0,0.0,2.0,8.0,7.0,0.0,0.0,0.0
8,0.0,0.0,2.0,0.0,9.0,9.0,1.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,15.0,11.0,3.0,0.0,0.0,0.0,3.0,8.0,8.0,0.0,0.0,0.0,3.0,10.0,3.0,0.0,0.0,0.0,1.0,8.0,12.0,0.0,0.0,0.0
9,0.0,0.0,1.0,1.0,9.0,7.0,1.0,0.0,0.0,0.0,6.0,11.0,1.0,0.0,0.0,0.0,6.0,9.0,4.0,0.0,0.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,5.0,13.0,2.0,0.0,0.0,0.0,3.0,8.0,7.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,0.0,0.0
