,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,short,right,short,True,600.0,correct,N,720.0,19505.0,29820.0,19505.0
1,right,short,right,short,True,1380.0,correct,N,611.0,29820.0,41166.0,29820.0
2,left,long,right,short,True,1260.0,incorrect,N,799.0,41166.0,64915.0,41166.0
3,right,short,right,short,True,1260.0,correct,N,559.0,64915.0,74454.0,64915.0
4,right,short,left,long,True,1950.0,incorrect,N,882.0,74454.0,94530.0,74454.0
5,right,short,right,short,True,600.0,correct,N,783.0,94530.0,105039.0,94530.0
6,left,long,left,long,True,2400.0,correct,N,700.0,105039.0,118323.0,105039.0
7,,,right,short,False,1260.0,,N,,118323.0,139837.0,118323.0
8,left,long,right,short,True,1380.0,incorrect,N,836.0,139837.0,159507.0,139837.0
9,right,short,right,short,True,1260.0,correct,N,539.0,159507.0,169242.0,159507.0
10,left,long,left,long,True,1950.0,correct,N,773.0,169242.0,184499.0,169242.0
11,right,short,right,short,True,600.0,correct,N,628.0,184499.0,197023.0,184499.0
12,left,long,left,long,True,1740.0,correct,N,950.0,197023.0,209780.0,197023.0
13,left,long,left,long,True,1740.0,correct,N,698.0,209780.0,220261.0,209780.0
14,left,long,right,short,True,1380.0,incorrect,N,819.0,220261.0,243651.0,220261.0
15,right,short,left,long,True,1620.0,incorrect,N,822.0,243651.0,263177.0,243651.0
16,right,short,right,short,True,1260.0,correct,N,686.0,263177.0,272933.0,263177.0
17,,,left,long,False,1950.0,,N,,272933.0,295813.0,272933.0
18,right,short,right,short,True,1260.0,correct,N,700.0,295813.0,305929.0,295813.0
19,left,long,left,long,True,1950.0,correct,N,791.0,305929.0,324287.0,305929.0
20,left,long,right,short,True,1380.0,incorrect,N,734.0,324287.0,346106.0,324287.0
21,right,short,right,short,True,1380.0,correct,N,688.0,346106.0,355783.0,346106.0
22,left,long,left,long,True,1620.0,correct,N,883.0,355783.0,368302.0,355783.0
23,right,short,right,short,True,1050.0,correct,N,638.0,368302.0,379360.0,368302.0
24,right,short,right,short,True,1260.0,correct,N,919.0,379360.0,394885.0,379360.0
25,right,short,left,long,True,1620.0,incorrect,N,727.0,394885.0,415987.0,394885.0
26,left,long,right,short,True,1380.0,incorrect,N,902.0,415987.0,436224.0,415987.0
27,right,short,right,short,True,1260.0,correct,N,653.0,436224.0,445834.0,436224.0
28,right,short,right,short,True,1380.0,correct,N,777.0,445834.0,455651.0,445834.0
29,,,right,short,False,600.0,,N,,455651.0,477612.0,455651.0
30,right,short,right,short,True,1260.0,correct,N,671.0,477612.0,487496.0,477612.0
31,right,short,right,short,True,1260.0,correct,N,841.0,487496.0,499996.0,487496.0
32,left,long,left,long,True,1950.0,correct,N,864.0,499996.0,512395.0,499996.0
33,right,short,right,short,True,1260.0,correct,N,650.0,512395.0,522077.0,512395.0
34,,,left,long,False,1740.0,,N,,522077.0,545075.0,522077.0
35,,,left,long,False,1950.0,,N,,545075.0,565626.0,545075.0
36,left,long,left,long,True,2400.0,correct,N,671.0,565626.0,575508.0,565626.0
37,right,short,right,short,True,1050.0,correct,N,702.0,575508.0,585460.0,575508.0
38,right,short,left,long,True,1620.0,incorrect,N,819.0,585460.0,606855.0,585460.0
39,right,short,left,long,True,1620.0,incorrect,N,1191.0,606855.0,627642.0,606855.0
40,right,short,right,short,True,1380.0,correct,N,675.0,627642.0,637322.0,627642.0
41,right,short,left,long,True,1620.0,incorrect,N,821.0,637322.0,667414.0,637322.0
42,left,long,left,long,True,1950.0,correct,N,733.0,667414.0,677354.0,667414.0
43,right,short,left,long,True,2400.0,incorrect,N,806.0,677354.0,697843.0,677354.0
44,left,long,left,long,True,1950.0,correct,N,957.0,697843.0,710941.0,697843.0
45,right,short,right,short,True,1050.0,correct,N,687.0,710941.0,728572.0,710941.0
46,left,long,right,short,True,1260.0,incorrect,N,932.0,728572.0,749801.0,728572.0
47,left,long,right,short,True,1260.0,incorrect,N,1055.0,749801.0,792604.0,749801.0
48,right,short,right,short,True,1380.0,correct,N,844.0,792604.0,802363.0,792604.0
49,,,left,long,False,1740.0,,N,,802363.0,822799.0,802363.0
50,,,right,short,False,1260.0,,N,,822799.0,843022.0,822799.0
51,left,long,right,short,True,1380.0,incorrect,N,1029.0,843022.0,863788.0,843022.0
52,left,long,left,long,True,2400.0,correct,N,706.0,863788.0,874488.0,863788.0
53,left,long,left,long,True,1950.0,correct,N,610.0,874488.0,899939.0,874488.0
54,left,long,right,short,True,1260.0,incorrect,N,790.0,899939.0,922455.0,899939.0
55,right,short,right,short,True,1380.0,correct,N,928.0,922455.0,934240.0,922455.0
56,left,long,left,long,True,2400.0,correct,N,804.0,934240.0,956459.0,934240.0
57,left,long,left,long,True,2400.0,correct,N,732.0,956459.0,967053.0,956459.0
58,,,left,long,False,2400.0,,N,,967053.0,991446.0,967053.0
59,,,left,long,False,2400.0,,N,,991446.0,1011706.0,991446.0
60,right,short,left,long,True,1620.0,incorrect,N,702.0,1011706.0,1032630.0,1011706.0
61,right,short,left,long,True,1740.0,incorrect,N,736.0,1032630.0,1052409.0,1032630.0
62,right,short,right,short,True,1260.0,correct,N,711.0,1052409.0,1089150.0,1052409.0
63,left,long,left,long,True,1740.0,correct,N,1056.0,1089150.0,1101657.0,1089150.0
64,,,left,long,False,1950.0,,N,,1101657.0,1122684.0,1101657.0
65,,,left,long,False,2400.0,,N,,1122684.0,1142440.0,1122684.0
66,left,long,left,long,True,1620.0,correct,N,825.0,1142440.0,1160682.0,1142440.0
67,right,short,right,short,True,1050.0,correct,N,719.0,1160682.0,1171336.0,1160682.0
68,,,left,long,False,1740.0,,N,,1171336.0,1195329.0,1171336.0
69,right,short,right,short,True,1260.0,correct,N,772.0,1195329.0,1206662.0,1195329.0
70,left,short,right,long,True,1620.0,incorrect,S,932.0,1206662.0,1233045.0,1206662.0
71,right,long,right,long,True,2400.0,correct,S,647.0,1233045.0,1245522.0,1233045.0
72,left,short,right,long,True,1620.0,incorrect,S,859.0,1245522.0,1265764.0,1245522.0
73,right,long,right,long,True,1620.0,correct,S,606.0,1265764.0,1277333.0,1265764.0
74,right,long,right,long,True,2400.0,correct,S,730.0,1277333.0,1287511.0,1277333.0
75,right,long,right,long,True,2400.0,correct,S,647.0,1287511.0,1298649.0,1287511.0
76,left,short,left,short,True,1380.0,correct,S,860.0,1298649.0,1308294.0,1298649.0
77,left,short,left,short,True,600.0,correct,S,748.0,1308294.0,1328529.0,1308294.0
78,,,right,long,False,1950.0,,S,,1328529.0,1347635.0,1328529.0
79,right,long,right,long,True,1740.0,correct,S,630.0,1347635.0,1357821.0,1347635.0
80,left,short,left,short,True,600.0,correct,S,845.0,1357821.0,1369881.0,1357821.0
81,left,short,left,short,True,1050.0,correct,S,797.0,1369881.0,1388114.0,1369881.0
82,left,short,left,short,True,600.0,correct,S,720.0,1388114.0,1406105.0,1388114.0
83,right,long,left,short,True,1380.0,incorrect,S,719.0,1406105.0,1429942.0,1406105.0
84,right,long,right,long,True,1620.0,correct,S,691.0,1429942.0,1440187.0,1429942.0
85,left,short,left,short,True,600.0,correct,S,720.0,1440187.0,1456580.0,1440187.0
86,,,right,long,False,1620.0,,S,,1456580.0,1480223.0,1456580.0
87,right,long,right,long,True,1620.0,correct,S,698.0,1480223.0,1490120.0,1480223.0
88,,,left,short,False,1380.0,,S,,1490120.0,1517675.0,1490120.0
89,,,right,long,False,2400.0,,S,,1517675.0,1536782.0,1517675.0
90,left,short,left,short,True,1260.0,correct,S,744.0,1536782.0,1549451.0,1536782.0
91,right,long,left,short,True,1260.0,incorrect,S,862.0,1549451.0,1570098.0,1549451.0
92,,,left,short,False,1380.0,,S,,1570098.0,1591301.0,1570098.0
93,left,short,left,short,True,1260.0,correct,S,740.0,1591301.0,1601549.0,1591301.0
94,right,long,right,long,True,1620.0,correct,S,964.0,1601549.0,1615252.0,1601549.0
95,right,long,right,long,True,1740.0,correct,S,907.0,1615252.0,1624859.0,1615252.0
96,right,long,right,long,True,1740.0,correct,S,726.0,1624859.0,1635035.0,1624859.0
97,left,short,right,long,True,1620.0,incorrect,S,865.0,1635035.0,1654931.0,1635035.0
98,,,right,long,False,1950.0,,S,,1654931.0,1676362.0,1654931.0
99,right,long,right,long,True,1950.0,correct,S,643.0,1676362.0,1686555.0,1676362.0
100,left,short,right,long,True,1740.0,incorrect,S,884.0,1686555.0,1706472.0,1686555.0
101,left,short,left,short,True,600.0,correct,S,663.0,1706472.0,1716978.0,1706472.0
102,left,short,left,short,True,1380.0,correct,S,937.0,1716978.0,1728766.0,1716978.0
103,right,long,right,long,True,1950.0,correct,S,750.0,1728766.0,1750128.0,1728766.0
104,left,short,left,short,True,1260.0,correct,S,760.0,1750128.0,1764708.0,1750128.0
105,left,short,left,short,True,1050.0,correct,S,706.0,1764708.0,1774679.0,1764708.0
106,left,short,left,short,True,600.0,correct,S,733.0,1774679.0,1793781.0,1774679.0
107,right,long,right,long,True,1620.0,correct,S,767.0,1793781.0,1808267.0,1793781.0
108,,,left,short,False,1260.0,,S,,1808267.0,1831524.0,1808267.0
109,,,left,short,False,600.0,,S,,1831524.0,1850679.0,1831524.0
110,left,short,left,short,True,600.0,correct,S,689.0,1850679.0,1860355.0,1850679.0
111,,,right,long,False,1950.0,,S,,1860355.0,1881409.0,1860355.0
112,,,right,long,False,1620.0,,S,,1881409.0,1902080.0,1881409.0
113,,,left,short,False,1260.0,,S,,1902080.0,1924408.0,1902080.0
114,,,right,long,False,1740.0,,S,,1924408.0,1944350.0,1924408.0
115,right,long,right,long,True,2400.0,correct,S,701.0,1944350.0,1954598.0,1944350.0
116,right,long,right,long,True,1620.0,correct,S,758.0,1954598.0,1981923.0,1954598.0
117,right,long,right,long,True,2400.0,correct,S,945.0,1981923.0,1991029.0,1981923.0
118,left,short,left,short,True,1050.0,correct,S,705.0,1991029.0,2010761.0,1991029.0
119,left,short,left,short,True,1260.0,correct,S,818.0,2010761.0,2031016.0,2010761.0
120,left,short,right,long,True,1620.0,incorrect,S,934.0,2031016.0,2054809.0,2031016.0
121,,,right,long,False,1740.0,,S,,2054809.0,2073918.0,2054809.0
122,left,short,right,long,True,1620.0,incorrect,S,756.0,2073918.0,2094529.0,2073918.0
123,left,short,left,short,True,600.0,correct,S,821.0,2094529.0,2103634.0,2094529.0
124,left,short,left,short,True,1050.0,correct,S,1632.0,2103634.0,2128357.0,2103634.0
125,left,short,left,short,True,600.0,correct,S,1168.0,2128357.0,2143917.0,2128357.0
126,right,long,right,long,True,1740.0,correct,S,634.0,2143917.0,2158652.0,2143917.0
127,right,long,right,long,True,1950.0,correct,S,656.0,2158652.0,2168631.0,2158652.0
128,left,short,left,short,True,1050.0,correct,S,995.0,2168631.0,2187129.0,2168631.0
129,right,short,right,short,True,1380.0,correct,N,793.0,2187129.0,2197669.0,2187129.0
130,right,short,right,short,True,600.0,correct,N,872.0,2197669.0,2215758.0,2197669.0
131,,,right,short,False,1260.0,,N,,2215758.0,2238518.0,2215758.0
132,right,short,right,short,True,600.0,correct,N,697.0,2238518.0,2248211.0,2238518.0
133,right,short,right,short,True,1380.0,correct,N,613.0,2248211.0,2257733.0,2248211.0
134,right,short,left,long,True,1620.0,incorrect,N,669.0,2257733.0,2277364.0,2257733.0
135,,,left,long,False,1950.0,,N,,2277364.0,2297147.0,2277364.0
136,right,short,right,short,True,1050.0,correct,N,593.0,2297147.0,2307422.0,2297147.0
137,,,left,long,False,1740.0,,N,,2307422.0,2330536.0,2307422.0
138,left,long,right,short,True,1380.0,incorrect,N,785.0,2330536.0,2349643.0,2330536.0
139,right,short,right,short,True,1050.0,correct,N,701.0,2349643.0,2362493.0,2349643.0
140,right,short,right,short,True,1380.0,correct,N,850.0,2362493.0,2385268.0,2362493.0
141,right,short,right,short,True,1260.0,correct,N,932.0,2385268.0,2403786.0,2385268.0
142,right,short,right,short,True,1260.0,correct,N,839.0,2403786.0,2414703.0,2403786.0
143,left,long,right,short,True,1260.0,incorrect,N,915.0,2414703.0,2440066.0,2414703.0
144,right,short,left,long,True,1950.0,incorrect,N,736.0,2440066.0,2459678.0,2440066.0
145,,,left,long,False,1740.0,,N,,2459678.0,2479702.0,2459678.0
146,right,short,left,long,True,1620.0,incorrect,N,642.0,2479702.0,2500416.0,2479702.0
147,left,long,left,long,True,1740.0,correct,N,726.0,2500416.0,2513058.0,2500416.0
148,left,long,right,short,True,1260.0,incorrect,N,800.0,2513058.0,2533463.0,2513058.0
149,right,short,left,long,True,1620.0,incorrect,N,702.0,2533463.0,2553081.0,2533463.0
150,right,short,left,long,True,1620.0,incorrect,N,714.0,2553081.0,2572641.0,2553081.0
151,,,right,short,False,1260.0,,N,,2572641.0,2593353.0,2572641.0
152,right,short,right,short,True,1050.0,correct,N,692.0,2593353.0,2602996.0,2593353.0
153,left,long,left,long,True,1740.0,correct,N,818.0,2602996.0,2612104.0,2602996.0
154,right,short,right,short,True,1380.0,correct,N,908.0,2612104.0,2622539.0,2612104.0
155,right,short,right,short,True,1260.0,correct,N,798.0,2622539.0,2663523.0,2622539.0
156,right,short,right,short,True,1260.0,correct,N,748.0,2663523.0,2681001.0,2663523.0
157,,,left,long,False,1950.0,,N,,2681001.0,2710203.0,2681001.0
158,right,short,left,long,True,1740.0,incorrect,N,787.0,2710203.0,2730329.0,2710203.0
159,,,left,long,False,1740.0,,N,,2730329.0,2750503.0,2730329.0
160,right,short,right,short,True,600.0,correct,N,690.0,2750503.0,2761542.0,2750503.0
161,left,long,left,long,True,1950.0,correct,N,1425.0,2761542.0,2774455.0,2761542.0
162,right,short,right,short,True,1380.0,correct,N,845.0,2774455.0,2784183.0,2774455.0
163,right,short,right,short,True,1050.0,correct,N,666.0,2784183.0,2801006.0,2784183.0
164,right,short,left,long,True,1620.0,incorrect,N,807.0,2801006.0,2820475.0,2801006.0
165,,,left,long,False,2400.0,,N,,2820475.0,2840644.0,2820475.0
166,left,long,right,short,True,1260.0,incorrect,N,775.0,2840644.0,2861998.0,2840644.0
167,left,long,left,long,True,1620.0,correct,N,739.0,2861998.0,2872211.0,2861998.0
168,left,long,left,long,True,1620.0,correct,N,678.0,2872211.0,2889906.0,2872211.0
169,left,long,left,long,True,1620.0,correct,N,758.0,2889906.0,2901788.0,2889906.0
170,right,short,right,short,True,600.0,correct,N,812.0,2901788.0,2917537.0,2901788.0
171,left,long,left,long,True,1740.0,correct,N,792.0,2917537.0,2931183.0,2917537.0
172,right,short,left,long,True,1740.0,incorrect,N,894.0,2931183.0,2951099.0,2931183.0
173,right,short,right,short,True,1050.0,correct,N,933.0,2951099.0,2960815.0,2951099.0
174,left,long,right,short,True,1380.0,incorrect,N,808.0,2960815.0,2987866.0,2960815.0
175,left,long,right,short,True,1380.0,incorrect,N,717.0,2987866.0,3006974.0,2987866.0
176,right,short,left,long,True,1620.0,incorrect,N,642.0,3006974.0,3026329.0,3006974.0
177,left,long,right,short,True,1260.0,incorrect,N,966.0,3026329.0,3051764.0,3026329.0
178,left,long,left,long,True,1950.0,correct,N,977.0,3051764.0,3061248.0,3051764.0
179,right,short,right,short,True,1050.0,correct,N,812.0,3061248.0,3074994.0,3061248.0
180,left,long,left,long,True,2400.0,correct,N,853.0,3074994.0,3086322.0,3074994.0
181,right,short,right,short,True,1260.0,correct,N,952.0,3086322.0,3101069.0,3086322.0
182,left,long,left,long,True,1950.0,correct,N,819.0,3101069.0,3114354.0,3101069.0
183,right,short,right,short,True,1050.0,correct,N,627.0,3114354.0,3126976.0,3114354.0
184,left,long,left,long,True,2400.0,correct,N,992.0,3126976.0,3138671.0,3126976.0
185,right,short,left,long,True,1620.0,incorrect,N,640.0,3138671.0,3162036.0,3138671.0
186,,,right,short,False,600.0,,N,,3162036.0,3181750.0,3162036.0
187,right,short,right,short,True,1050.0,correct,N,738.0,3181750.0,3191112.0,3181750.0
188,left,long,left,long,True,1620.0,correct,N,794.0,3191112.0,3200221.0,3191112.0
189,right,short,left,long,True,1950.0,incorrect,N,720.0,3200221.0,3228841.0,3200221.0
190,left,long,right,short,True,600.0,incorrect,N,857.0,3228841.0,3248358.0,3228841.0
191,left,long,left,long,True,1950.0,correct,N,713.0,3248358.0,3257720.0,3248358.0
192,right,long,right,long,True,2400.0,correct,S,891.0,3257720.0,3270812.0,3257720.0
193,left,short,right,long,True,1620.0,incorrect,S,626.0,3270812.0,3299928.0,3270812.0
194,right,long,left,short,True,1380.0,incorrect,S,607.0,3299928.0,3319489.0,3299928.0
195,left,short,left,short,True,1260.0,correct,S,649.0,3319489.0,3329683.0,3319489.0
196,left,short,left,short,True,1050.0,correct,S,903.0,3329683.0,3348535.0,3329683.0
197,left,short,right,long,True,1620.0,incorrect,S,1060.0,3348535.0,3369684.0,3348535.0
198,right,long,right,long,True,1620.0,correct,S,623.0,3369684.0,3379547.0,3369684.0
199,left,short,left,short,True,1380.0,correct,S,907.0,3379547.0,3391515.0,3379547.0
200,right,long,right,long,True,1740.0,correct,S,647.0,3391515.0,3407062.0,3391515.0
201,left,short,right,long,True,1620.0,incorrect,S,834.0,3407062.0,3427710.0,3407062.0
202,right,long,right,long,True,1950.0,correct,S,605.0,3427710.0,3436818.0,3427710.0
203,,,left,short,False,1380.0,,S,,3436818.0,3459790.0,3436818.0
204,right,long,left,short,True,1380.0,incorrect,S,702.0,3459790.0,3480993.0,3459790.0
205,right,long,right,long,True,2400.0,correct,S,731.0,3480993.0,3492784.0,3480993.0
206,right,long,right,long,True,2400.0,correct,S,671.0,3492784.0,3502233.0,3492784.0
207,left,short,right,long,True,1740.0,incorrect,S,895.0,3502233.0,3527324.0,3502233.0
208,right,long,right,long,True,2400.0,correct,S,739.0,3527324.0,3537086.0,3527324.0
209,left,short,left,short,True,600.0,correct,S,793.0,3537086.0,3554348.0,3537086.0
210,right,long,right,long,True,2400.0,correct,S,705.0,3554348.0,3569607.0,3554348.0
211,left,short,left,short,True,1380.0,correct,S,877.0,3569607.0,3579311.0,3569607.0
212,left,short,left,short,True,600.0,correct,S,790.0,3579311.0,3593977.0,3579311.0
213,right,long,right,long,True,1950.0,correct,S,674.0,3593977.0,3604026.0,3593977.0
214,left,short,left,short,True,600.0,correct,S,747.0,3604026.0,3618196.0,3604026.0
215,left,short,right,long,True,1950.0,incorrect,S,849.0,3618196.0,3637705.0,3618196.0
216,right,long,right,long,True,1740.0,correct,S,669.0,3637705.0,3647698.0,3637705.0
217,left,short,left,short,True,1260.0,correct,S,752.0,3647698.0,3662243.0,3647698.0
218,left,short,left,short,True,1380.0,correct,S,933.0,3662243.0,3671889.0,3662243.0
219,right,long,right,long,True,1740.0,correct,S,752.0,3671889.0,3686701.0,3671889.0
220,right,long,right,long,True,1620.0,correct,S,731.0,3686701.0,3696815.0,3686701.0
221,,,right,long,False,1950.0,,S,,3696815.0,3722485.0,3696815.0
222,left,short,right,long,True,1620.0,incorrect,S,778.0,3722485.0,3742430.0,3722485.0
223,right,long,right,long,True,1620.0,correct,S,791.0,3742430.0,3751862.0,3742430.0
224,,,right,long,False,2400.0,,S,,3751862.0,3770994.0,3751862.0
225,,,left,short,False,600.0,,S,,3770994.0,3790099.0,3770994.0
